TrealK	TsampK	STsamK	TheaterK	STheateK	mi0HmT	sH	Memu	sMemu	Memupg	pointtoStat	timebetmeasms	actualTime
264,289796E+0	252,433333E+0	57,735027E-3	271,500000E+0	0,000000E+0	8,786667E+0	5,773503E-3	32,900667E-3	94,516313E-6	Inf	3,000000E+0	250,000000E+0	3,719843771380E+9
264,576617E+0	252,700000E+0	34,809343E-15	271,800000E+0	0,000000E+0	8,783333E+0	5,773503E-3	32,580667E-3	113,724814E-6	Inf	3,000000E+0	250,000000E+0	3,719843781370E+9
264,776794E+0	252,900000E+0	0,000000E+0	272,000000E+0	0,000000E+0	8,783333E+0	5,773503E-3	32,327333E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719843791370E+9
265,010332E+0	253,133333E+0	57,735027E-3	272,233333E+0	57,735027E-3	8,783333E+0	5,773503E-3	32,014000E-3	69,282032E-6	Inf	3,000000E+0	250,000000E+0	3,719843801360E+9
265,277233E+0	253,400000E+0	0,000000E+0	272,500000E+0	0,000000E+0	8,780000E+0	0,000000E+0	31,727333E-3	50,332230E-6	Inf	3,000000E+0	250,000000E+0	3,719843811360E+9
265,537171E+0	253,600000E+0	0,000000E+0	272,800000E+0	0,000000E+0	8,796667E+0	5,773503E-3	31,454000E-3	111,355287E-6	Inf	3,000000E+0	250,000000E+0	3,719843821360E+9
265,750792E+0	253,833333E+0	57,735027E-3	273,000000E+0	0,000000E+0	8,786667E+0	5,773503E-3	31,280667E-3	80,829038E-6	Inf	3,000000E+0	250,000000E+0	3,719843831410E+9
266,037615E+0	254,100000E+0	0,000000E+0	273,300000E+0	0,000000E+0	8,836667E+0	5,773503E-3	31,060667E-3	64,291005E-6	Inf	3,000000E+0	250,000000E+0	3,719843841410E+9
266,237792E+0	254,300000E+0	34,809343E-15	273,500000E+0	0,000000E+0	8,813333E+0	5,773503E-3	30,887333E-3	64,291005E-6	Inf	3,000000E+0	250,000000E+0	3,719843851400E+9
266,497723E+0	254,500000E+0	0,000000E+0	273,800000E+0	0,000000E+0	8,790000E+0	10,000000E-3	30,514000E-3	91,651514E-6	Inf	3,000000E+0	250,000000E+0	3,719843861400E+9
266,738234E+0	254,800000E+0	34,809343E-15	274,000000E+0	0,000000E+0	8,786667E+0	11,547005E-3	30,094000E-3	158,745079E-6	Inf	3,000000E+0	250,000000E+0	3,719843871390E+9
266,998172E+0	255,000000E+0	0,000000E+0	274,300000E+0	0,000000E+0	8,790000E+0	0,000000E+0	29,774000E-3	100,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843881390E+9
267,238672E+0	255,300000E+0	34,809343E-15	274,500000E+0	0,000000E+0	8,793333E+0	15,275252E-3	29,480667E-3	83,266640E-6	Inf	3,000000E+0	250,000000E+0	3,719843891440E+9
267,492136E+0	255,533333E+0	57,735027E-3	274,766667E+0	57,735027E-3	8,823333E+0	5,773503E-3	29,327333E-3	94,516313E-6	Inf	3,000000E+0	250,000000E+0	3,719843901490E+9
267,739109E+0	255,800000E+0	34,809343E-15	275,000000E+0	0,000000E+0	8,780000E+0	0,000000E+0	28,934000E-3	40,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843911490E+9
268,039370E+0	256,100000E+0	0,000000E+0	275,300000E+0	0,000000E+0	5,870000E+0	5,083572E+0	28,594000E-3	140,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843921490E+9
268,239543E+0	256,300000E+0	0,000000E+0	275,500000E+0	0,000000E+0	8,820000E+0	0,000000E+0	28,720667E-3	98,657657E-6	Inf	3,000000E+0	250,000000E+0	3,719843931480E+9
268,499505E+0	256,500000E+0	0,000000E+0	275,800000E+0	0,000000E+0	8,830000E+0	0,000000E+0	28,547333E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719843941480E+9
268,759909E+0	256,800000E+0	0,000000E+0	276,033333E+0	57,735027E-3	8,823333E+0	5,773503E-3	28,180667E-3	64,291005E-6	Inf	3,000000E+0	250,000000E+0	3,719843951480E+9
268,999945E+0	257,000000E+0	0,000000E+0	276,300000E+0	0,000000E+0	8,820000E+0	10,000000E-3	28,047333E-3	70,237692E-6	Inf	3,000000E+0	250,000000E+0	3,719843961470E+9
269,200120E+0	257,200000E+0	0,000000E+0	276,500000E+0	0,000000E+0	8,806667E+0	5,773503E-3	27,654000E-3	131,148770E-6	Inf	3,000000E+0	250,000000E+0	3,719843971470E+9
269,500382E+0	257,500000E+0	0,000000E+0	276,800000E+0	0,000000E+0	8,786667E+0	5,773503E-3	27,474000E-3	72,111026E-6	Inf	3,000000E+0	250,000000E+0	3,719843981470E+9
269,700556E+0	257,700000E+0	0,000000E+0	277,000000E+0	0,000000E+0	8,793333E+0	5,773503E-3	27,254000E-3	52,915026E-6	Inf	3,000000E+0	250,000000E+0	3,719843991520E+9
269,940592E+0	257,900000E+0	0,000000E+0	277,266667E+0	57,735027E-3	8,806667E+0	5,773503E-3	27,247333E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719844001570E+9
270,187561E+0	258,166667E+0	57,735027E-3	277,500000E+0	0,000000E+0	8,803333E+0	5,773503E-3	26,987333E-3	115,470054E-6	Inf	3,000000E+0	250,000000E+0	3,719844011560E+9
270,441030E+0	258,400000E+0	0,000000E+0	277,766667E+0	57,735027E-3	8,810000E+0	0,000000E+0	26,860667E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719844021560E+9
270,700991E+0	258,600000E+0	0,000000E+0	278,066667E+0	57,735027E-3	8,820000E+0	10,000000E-3	26,800667E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719844031560E+9
270,921093E+0	258,800000E+0	0,000000E+0	278,300000E+0	0,000000E+0	8,813333E+0	5,773503E-3	26,534000E-3	91,651514E-6	Inf	3,000000E+0	250,000000E+0	3,719844041550E+9
271,181506E+0	259,100000E+0	0,000000E+0	278,533333E+0	57,735027E-3	8,816667E+0	5,773503E-3	26,287333E-3	61,101009E-6	Inf	3,000000E+0	250,000000E+0	3,719844051550E+9
271,421539E+0	259,300000E+0	0,000000E+0	278,800000E+0	0,000000E+0	5,893333E+0	5,103776E+0	26,154000E-3	150,996689E-6	Inf	3,000000E+0	250,000000E+0	3,719844061600E+9
271,621716E+0	259,500000E+0	0,000000E+0	279,000000E+0	0,000000E+0	8,833333E+0	5,773503E-3	25,934000E-3	72,111026E-6	Inf	3,000000E+0	250,000000E+0	3,719844071600E+9
271,835327E+0	259,733333E+0	57,735027E-3	279,200000E+0	0,000000E+0	8,836667E+0	5,773503E-3	25,840667E-3	90,184995E-6	Inf	3,000000E+0	250,000000E+0	3,719844081590E+9
272,122159E+0	260,000000E+0	0,000000E+0	279,500000E+0	0,000000E+0	8,870000E+0	10,000000E-3	25,714000E-3	124,899960E-6	Inf	3,000000E+0	250,000000E+0	3,719844091590E+9
272,382117E+0	260,200000E+0	0,000000E+0	279,800000E+0	0,000000E+0	8,830000E+0	0,000000E+0	25,674000E-3	52,915026E-6	Inf	3,000000E+0	250,000000E+0	3,719844101590E+9
272,682386E+0	260,500000E+0	0,000000E+0	280,100000E+0	0,000000E+0	5,906667E+0	5,115323E+0	25,360667E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719844111640E+9
272,835763E+0	260,633333E+0	57,735027E-3	280,266667E+0	57,735027E-3	8,863333E+0	5,773503E-3	25,320667E-3	102,632029E-6	Inf	3,000000E+0	250,000000E+0	3,719844121630E+9
273,082743E+0	260,900000E+0	0,000000E+0	280,500000E+0	0,000000E+0	8,860000E+0	0,000000E+0	25,080667E-3	61,101009E-6	Inf	3,000000E+0	250,000000E+0	3,719844131630E+9
273,342694E+0	261,100000E+0	0,000000E+0	280,800000E+0	0,000000E+0	8,880000E+0	0,000000E+0	24,920667E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719844141630E+9
273,542875E+0	261,300000E+0	0,000000E+0	281,000000E+0	0,000000E+0	8,903333E+0	5,773503E-3	24,827333E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719844151620E+9
273,782896E+0	261,500000E+0	0,000000E+0	281,266667E+0	57,735027E-3	8,883333E+0	5,773503E-3	24,640667E-3	70,237692E-6	Inf	3,000000E+0	250,000000E+0	3,719844161620E+9
274,029886E+0	261,766667E+0	57,735027E-3	281,500000E+0	0,000000E+0	8,886667E+0	5,773503E-3	24,540667E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719844171620E+9
274,263430E+0	262,000000E+0	0,000000E+0	281,733333E+0	57,735027E-3	8,880000E+0	0,000000E+0	24,240667E-3	80,829038E-6	Inf	3,000000E+0	250,000000E+0	3,719844181610E+9
274,503454E+0	262,200000E+0	0,000000E+0	282,000000E+0	0,000000E+0	8,866667E+0	5,773503E-3	24,340667E-3	92,376043E-6	Inf	3,000000E+0	250,000000E+0	3,719844191610E+9
